Number,Name,Code,Emoji,Hall of Fame,Comment
№,CLDR Short Name,Code,Browser,,
393,merman,U+1F9DC U+200D U+2642 U+FE0F,🧜‍♂️,,
394,mermaid,U+1F9DC U+200D U+2640 U+FE0F,🧜‍♀️,,
395,elf,U+1F9DD,🧝,,
396,man elf,U+1F9DD U+200D U+2642 U+FE0F,🧝‍♂️,,
397,woman elf,U+1F9DD U+200D U+2640 U+FE0F,🧝‍♀️,,
398,genie,U+1F9DE,🧞,,
399,man genie,U+1F9DE U+200D U+2642 U+FE0F,🧞‍♂️,,
400,woman genie,U+1F9DE U+200D U+2640 U+FE0F,🧞‍♀️,,
401,zombie,U+1F9DF,🧟,,
402,man zombie,U+1F9DF U+200D U+2642 U+FE0F,🧟‍♂️,,
403,woman zombie,U+1F9DF U+200D U+2640 U+FE0F,🧟‍♀️,,
404,troll,U+1F9CC,🧌,,
405,⊛ hairy creature,U+1FAC8,🫈,,
person-activity,,,,,
№,CLDR Short Name,Code,Browser,,
406,person getting massage,U+1F486,💆,,
407,man getting massage,U+1F486 U+200D U+2642 U+FE0F,💆‍♂️,,
408,woman getting massage,U+1F486 U+200D U+2640 U+FE0F,💆‍♀️,,
409,person getting haircut,U+1F487,💇,,
410,man getting haircut,U+1F487 U+200D U+2642 U+FE0F,💇‍♂️,,
411,woman getting haircut,U+1F487 U+200D U+2640 U+FE0F,💇‍♀️,,
412,person walking,U+1F6B6,🚶,,
413,man walking,U+1F6B6 U+200D U+2642 U+FE0F,🚶‍♂️,,
414,woman walking,U+1F6B6 U+200D U+2640 U+FE0F,🚶‍♀️,,
415,person walking: facing right,U+1F6B6 U+200D U+27A1 U+FE0F,🚶‍➡️,,
416,woman walking: facing right,U+1F6B6 U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F,🚶‍♀️‍➡️,,
417,man walking: facing right,U+1F6B6 U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F,🚶‍♂️‍➡️,,
418,person standing,U+1F9CD,🧍,,
419,man standing,U+1F9CD U+200D U+2642 U+FE0F,🧍‍♂️,,
420,woman standing,U+1F9CD U+200D U+2640 U+FE0F,🧍‍♀️,,
421,person kneeling,U+1F9CE,🧎,,
422,man kneeling,U+1F9CE U+200D U+2642 U+FE0F,🧎‍♂️,,
423,woman kneeling,U+1F9CE U+200D U+2640 U+FE0F,🧎‍♀️,,
424,person kneeling: facing right,U+1F9CE U+200D U+27A1 U+FE0F,🧎‍➡️,,
425,woman kneeling: facing right,U+1F9CE U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F,🧎‍♀️‍➡️,,
№,CLDR Short Name,Code,Browser,,
426,man kneeling: facing right,U+1F9CE U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F,🧎‍♂️‍➡️,,
427,person with white cane,U+1F9D1 U+200D U+1F9AF,🧑‍🦯,,
428,person with white cane: facing right,U+1F9D1 U+200D U+1F9AF U+200D U+27A1 U+FE0F,🧑‍🦯‍➡️,,
429,man with white cane,U+1F468 U+200D U+1F9AF,👨‍🦯,,
430,man with white cane: facing right,U+1F468 U+200D U+1F9AF U+200D U+27A1 U+FE0F,👨‍🦯‍➡️,,
431,woman with white cane,U+1F469 U+200D U+1F9AF,👩‍🦯,,
432,woman with white cane: facing right,U+1F469 U+200D U+1F9AF U+200D U+27A1 U+FE0F,👩‍🦯‍➡️,,
433,person in motorized wheelchair,U+1F9D1 U+200D U+1F9BC,🧑‍🦼,,
434,person in motorized wheelchair: facing right,U+1F9D1 U+200D U+1F9BC U+200D U+27A1 U+FE0F,🧑‍🦼‍➡️,,
435,man in motorized wheelchair,U+1F468 U+200D U+1F9BC,👨‍🦼,,
